,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
4610,2018-05-01T00:00:00.000Z,169.1,169.2,165.27,166.41,53569376,39.8966965893,39.9202901414,38.9930635441,39.262030038,214277504,0.0,1.0
4611,2018-05-02T00:00:00.000Z,176.57,177.75,173.8,175.23,66539371,41.6591349307,41.9375388453,41.0055935377,41.3429813326,266157484,0.0,1.0
4612,2018-05-03T00:00:00.000Z,176.89,177.5,174.44,175.88,34068180,41.7346342973,41.8785549651,41.1565922711,41.4963394212,136272720,0.0,1.0
4613,2018-05-04T00:00:00.000Z,183.83,184.25,178.17,178.25,56201317,43.3720268126,43.4711197314,42.0366317641,42.0555066058,224805268,0.0,1.0
4614,2018-05-07T00:00:00.000Z,185.16,187.67,184.75,185.18,42451423,43.6858210554,44.278019213,43.5890874919,43.6905397659,169805692,0.0,1.0
4615,2018-05-08T00:00:00.000Z,186.05,186.22,183.67,184.99,28402777,43.8958036691,43.9359127076,43.3342771293,43.6457120169,113611108,0.0,1.0
4616,2018-05-09T00:00:00.000Z,187.36,187.4,185.22,186.55,23211241,44.2048792015,44.2143166223,43.6999771867,44.0137714295,92844964,0.0,1.0
4617,2018-05-10T00:00:00.000Z,190.04,190.37,187.65,187.74,27989289,44.8371863976,44.9150451195,44.2733005026,44.2945346994,111957156,0.0,1.0
4618,2018-05-11T00:00:00.000Z,188.59,190.06,187.45,189.49,26212221,44.6673128225,45.01548054,44.3973052048,44.8804767312,104848884,0.73,1.0
4619,2018-05-14T00:00:00.000Z,188.15,189.53,187.86,189.01,20778772,44.563099356,44.8899506827,44.4944132077,44.7667893132,83115088,0.0,1.0
4620,2018-05-15T00:00:00.000Z,186.44,187.07,185.1,186.78,23695159,44.1580879295,44.3073026656,43.8407105544,44.2386165173,94780636,0.0,1.0
4621,2018-05-16T00:00:00.000Z,188.18,188.46,186.0,186.07,19183064,44.5702048197,44.6365224801,44.0538744631,44.0704538782,76732256,0.0,1.0
4622,2018-05-17T00:00:00.000Z,186.99,188.91,186.36,188.0,17294029,44.2883547626,44.7431044345,44.1391400265,44.5275720379,69176116,0.0,1.0
4623,2018-05-18T00:00:00.000Z,186.31,187.81,186.13,187.19,18297728,44.1272975872,44.4825707683,44.0846648054,44.3357245201,73190912,0.0,1.0
4624,2018-05-21T00:00:00.000Z,187.63,189.27,186.91,188.0,18400787,44.4399379866,44.828369998,44.2694068596,44.5275720379,73603148,0.0,1.0
4625,2018-05-22T00:00:00.000Z,187.16,188.88,186.78,188.38,15240704,44.3286190565,44.7359989709,44.2386165173,44.6175745772,60962816,0.0,1.0
4626,2018-05-23T00:00:00.000Z,188.36,188.5,185.76,186.35,20058415,44.6128376014,44.6459964316,43.9970307541,44.1367715387,80233660,0.0,1.0
4627,2018-05-24T00:00:00.000Z,188.15,188.84,186.21,188.77,23233975,44.563099356,44.7265250194,44.1036127084,44.7099456043,92935900,0.0,1.0
4628,2018-05-25T00:00:00.000Z,188.58,189.65,187.65,188.23,17460963,44.6649443346,44.9183725372,44.4446749623,44.582047259,69843852,0.0,1.0
4629,2018-05-29T00:00:00.000Z,187.9,188.75,186.87,187.6,22514075,44.5038871592,44.7052086285,44.2599329081,44.432832523,90056300,0.0,1.0
4630,2018-05-30T00:00:00.000Z,187.5,188.0,186.78,187.72,18690547,44.4091476442,44.5275720379,44.2386165173,44.4612543774,74762188,0.0,1.0
4631,2018-05-31T00:00:00.000Z,186.87,188.23,186.14,187.22,27482793,44.2599329081,44.582047259,44.0870332933,44.3428299837,109931172,0.0,1.0
4632,2018-06-01T00:00:00.000Z,190.24,190.26,187.75,187.99,23442510,45.0581133218,45.0628502975,44.4683598411,44.5252035501,93770040,0.0,1.0
4633,2018-06-04T00:00:00.000Z,191.83,193.42,191.35,191.64,26266174,45.4347028938,45.8112924658,45.3210154758,45.3897016242,105064696,0.0,1.0
4634,2018-06-05T00:00:00.000Z,193.31,193.94,192.36,193.07,21565963,45.7852390992,45.9344538353,45.5602327511,45.7283953902,86263852,0.0,1.0
4635,2018-06-06T00:00:00.000Z,193.98,194.08,191.92,193.63,20933619,45.9439277868,45.9676126655,45.4560192847,45.8610307112,83734476,0.0,1.0
4636,2018-06-07T00:00:00.000Z,193.46,194.2,192.34,194.14,21347180,45.8207664173,45.99603452,45.5554957754,45.9818235928,85388720,0.0,1.0
4637,2018-06-08T00:00:00.000Z,191.7,192.0,189.77,191.17,26656799,45.4039125514,45.4749671877,44.9467943917,45.2783826941,106627196,0.0,1.0
4638,2018-06-11T00:00:00.000Z,191.23,191.97,190.21,191.35,18308460,45.2925936213,45.467861724,45.0510078582,45.3210154758,73233840,0.0,1.0
4639,2018-06-12T00:00:00.000Z,192.28,192.61,191.15,191.39,16911141,45.5412848481,45.619444948,45.2736457183,45.3304894273,67644564,0.0,1.0
4640,2018-06-13T00:00:00.000Z,190.7,192.88,190.44,192.42,21638393,45.167063764,45.6833941206,45.1054830793,45.5744436784,86553572,0.0,1.0
4641,2018-06-14T00:00:00.000Z,190.8,191.57,190.22,191.55,21610074,45.1907486427,45.3731222091,45.053376346,45.3683852333,86440296,0.0,1.0
4642,2018-06-15T00:00:00.000Z,188.84,190.16,188.26,190.03,61719160,44.7265250194,45.0391654188,44.5891527227,45.0083750764,246876640,0.0,1.0
4643,2018-06-18T00:00:00.000Z,188.74,189.22,187.2,187.88,18484865,44.7028401406,44.8165275586,44.338093008,44.4991501834,73939460,0.0,1.0
4644,2018-06-19T00:00:00.000Z,185.69,186.33,183.45,185.14,33578455,43.9804513389,44.1320345629,43.4499100551,43.8501845059,134313820,0.0,1.0
4645,2018-06-20T00:00:00.000Z,186.5,187.2,185.73,186.35,20628701,44.1722988568,44.338093008,43.9899252904,44.1367715387,82514804,0.0,1.0
4646,2018-06-21T00:00:00.000Z,185.46,188.35,184.94,187.25,25711898,43.9259761178,44.6104691135,43.8028147484,44.3499354473,102847592,0.0,1.0
4647,2018-06-22T00:00:00.000Z,184.92,186.15,184.7,186.12,27200447,43.7980777726,44.0894017812,43.7459710394,44.0822963175,108801788,0.0,1.0
4648,2018-06-25T00:00:00.000Z,182.17,184.92,180.73,183.4,31663096,43.1467436072,43.7980777726,42.8056813533,43.4380676157,126652384,0.0,1.0
4649,2018-06-26T00:00:00.000Z,184.43,186.53,182.54,182.99,24569201,43.6820218668,44.1794043204,43.2343776585,43.3409596129,98276804,0.0,1.0
4650,2018-06-27T00:00:00.000Z,184.16,187.28,184.03,185.23,25285328,43.6180726942,44.357040911,43.5872823518,43.8715008967,101141312,0.0,1.0
4651,2018-06-28T00:00:00.000Z,185.5,186.21,183.8,184.1,17365235,43.9354500693,44.1036127084,43.5328071307,43.6038617669,69460940,0.0,1.0
4652,2018-06-29T00:00:00.000Z,185.11,187.19,182.91,186.29,22737666,43.8430790422,44.3357245201,43.3220117099,44.1225606114,90950664,0.0,1.0
